05/11/2024,CORONATION HALL SURBITON ))),-6.54
05/11/2024,SAINSBURYS S/MKTS SURBITON ))),-10.89
05/11/2024,CAPPADOCIA RESTAUR KINGSTON UPON ))),-32.50
05/11/2024,Canbury Arms Kingston upon ))),-15.10
05/11/2024,Canbury Arms Kingston upon ))),-6.15
04/11/2024,INT'L 0029869313 APPLE.COM/BILL 08001076285 VIS,-0.99
04/11/2024,WWW.JOHNLEWIS.COM 03456 049 049 VIS,-125.90
04/11/2024,YE OLDE SWAN THAMES DITTON ))),-9.75
04/11/2024,VRISTHI NEWS THAMES DITTON ))),-4.76
04/11/2024,Microsoft*Microsof msbill.info VIS,-1.99
04/11/2024,RICHARD DOWLING CR,500.00
04/11/2024,ELEANOR GREGORY RICHARD SO,-282.00
01/11/2024,SQ *LOCAL HERO KIN Kingston upon ))),-6.70
01/11/2024,JOHN LEWIS KINGSTON ))),-59.50
01/11/2024,LIDL GB HERSHAM HERSHAM VIS,-111.75
01/11/2024,RICHARD JOHN DOWLI 8PCNTSAVER SO,-200.00
01/11/2024,HSBC CREDIT CARD DD,-63.82
31/10/2024,ST CLEM DANES CF C ST CLEMENT DANES CR,194.00
30/10/2024,McDonalds 8260976 Sutton Coldfi VIS,-1.39
30/10/2024,The Perch Inn Oxford VIS,-164.69
30/10/2024,RICHARD DOWLING CR,500.00
29/10/2024,M6 TOLL LICHFIELD ))),-8.00
29/10/2024,GOOGLE *Google Pla g.co/helppay# VIS,-4.59
28/10/2024,Wix.com 1142938849 London VIS,-12.46
28/10/2024,CO-OP GROUP FOOD MATLOCK ))),-42.00
28/10/2024,OCTOPUS ENERGY DD,-70.00
24/10/2024,The Antelope Surbiton ))),-12.70
24/10/2024,SAINSBURYS S/MKTS SURBITON ))),-15.45
23/10/2024,INT'L 0042454103 APPLE.COM/BILL 08001076285 VIS,-4.99
23/10/2024,Childcare Tax Serv 1100107521844 BP,-0.20
23/10/2024,SAINSBURYS S/MKTS SURBITON ))),-15.79
23/10/2024,SUMUP  *THE LEGACY SURBITON ))),-25.00
23/10/2024,Childcare Tax Serv 1100107521844 BP,-337.84
23/10/2024,Childcare Tax Serv 1100107521844 BP,-0.80
23/10/2024,VODAFONE LTD DD,-10.41
22/10/2024,WAITROSE 232 SURBITON ))),-53.05
22/10/2024,BATTERSEA LEON LONDON ))),-24.46
21/10/2024,BUDGENS THAMES DITTO ))),-2.68
21/10/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-10.40
21/10/2024,PREMIER WINE HAMPTON ))),-11.80
21/10/2024,Digby's Patisserie London ))),-6.50
21/10/2024,Control Room B London ))),-22.11
21/10/2024,Control Room B London ))),-46.20
21/10/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-9.00
21/10/2024,Control Room B London VIS,46.20
21/10/2024,SAINSBURYS S/MKTS SURBITON VIS,-2.50
21/10/2024,RICHARD DOWLING CR,500.00
18/10/2024,Mr A Treharne Morg Arwel BP,-90.00
18/10/2024,The Antelope Surbiton ))),-13.50
17/10/2024,STARBUCKS KINGSTON ))),-2.65
17/10/2024,JOHN LEWIS WOOD STREET ))),-3.40
17/10/2024,SAINSBURYS S/MKTS SURBITON ))),-16.85
17/10/2024,T K MAXX KINGSTON ))),-3.99
15/10/2024,DVLA OEPPWEBECOM WWW.DVLA.GOV. VIS,-48.00
15/10/2024,Richard Dowling Monzo-RLXLJ OBP,-50.00
15/10/2024,INTERACTIVE INVEST DD,-540.00
15/10/2024,INTERACTIVE INVEST FIRST PAYMENT DD,-11.99
14/10/2024,YOURFLAGPROD LTD 04.10.24 EVENT CR,300.00
